a,"
'''a''' <small>[conjunction for nouns]</small> — ''and/or''
:'''ei mi tavla la Alis a la Kevin''' — ''I need to speak to Alice or Kevin (or to both of them).''
:Related words: '''ja''', '''a''', '''e''', '''ji''', '''o''', '''u'''"
forca,"
'''forca''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a fork for  ''x<sub>2</sub><sub>(clause)</sub>''  with tines  ''x<sub>3</sub><sub>(entity)</sub>''  on base  ''x<sub>4</sub><sub>(entity)</sub>'' 
:'''lo forca''' — fork. 
:'''ti forca lo nu jukpa vau ci da lo mudri''' — ''This is a wooden fork for cooking with three tines.''
:Related words: '''dakfu''', '''smuci''', '''kombitu''', '''tutci'''"
fragari,"
'''fragari''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a strawberry of species/breed  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo fragari''' — strawberry. 
:'''lo fragari cu je'a titla''' — ''Strawberries are really sweet.''
:Related words: '''jbari''', '''grute''', '''rozgu'''"
fraso,"
'''fraso''' — ''x<sub>1</sub><sub>(entity)</sub>''  is French in  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo fraso''' — French. 
:'''xu do se bangu lo fraso''' — ''Do you speak French?''
:Related words: '''ropno'''"
fraxu,"
'''fraxu''' — ''x<sub>1</sub><sub>(entity)</sub>''  forgives  ''x<sub>2</sub><sub>(entity)</sub>''  for  ''x<sub>3</sub><sub>(property of x2)</sub>'' 
:'''lo te fraxu''' — action forgiven. 
:'''ko fraxu mi lo ka jai lerci''' — ''Forgive me for being late.''
:Related words: '''dunda''', '''permite''', '''zungi'''"
frica,"
'''frica''' — ''x<sub>1</sub><sub>(entity)</sub>''  differs from  ''x<sub>2</sub><sub>(entity)</sub>''  in  ''x<sub>3</sub><sub>(property of x1 and x2 with '''kau''')</sub>'' 
:'''lo frica''' — something different. 
:'''mi frica do lo ka nelci ma kau''' — ''You and I differ from each other in what we like.''
:Related words: '''ranxi''', '''drata''', '''dunli''', '''simsa''', '''vrici'''"
friko,"
'''friko''' — ''x<sub>1</sub><sub>(entity)</sub>''  is African in  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo friko''' — African. 
:'''au mi viska lo friko xanto''' — ''I want to see African elephants.''
:Related words: '''ropno''', '''xazdo'''"
frili,"
'''frili''' — ''x<sub>1</sub><sub>(property of x2)</sub>''  is easy for  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo frili''' — easy. 
:'''lo vi karce cu jai frili fai lo ka se sazri''' — ''This car is easy to handle.''
:'''na pu frili mi fa lo nu tolcri lo ckiku''' — ''It wasn't easy for me to find the keys.''
:Related words: '''nandu''', '''sampu''', '''zifre'''"
frinu,"
'''frinu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a fraction of  ''x<sub>2</sub><sub>(entity)</sub>''  divided by  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo frinu''' — fraction. '''lo se frinu''' — numerator of a fraction. '''lo te frinu''' — denominator of a fraction. 
:'''li re frinu li bi li vo''' — ''2 = 8 / 2.''
:Related words: '''parbi''', '''dilcu''', '''mekso''', '''fendi'''"
friti,"
'''friti''' — ''x<sub>1</sub><sub>(entity)</sub>''  offers  ''x<sub>2</sub><sub>(entity, property of x1)</sub>''  to  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo se friti''' — offering. 
:'''mi pu friti fi le mamta fe lo ka sidju lo verba lo ka klama lo cnita''' — ''I offered the mother to help the child to go down.''
:Related words: '''canja''', '''dunda''', '''rinsa''', '''vecnu''', '''jdima''', '''cnemu''', '''pleji''', '''vitke'''"
frumu,"
'''frumu''' — ''x<sub>1</sub><sub>(entity)</sub>''  frowns
:'''ra pu frumu ca lo ka catlu mi''' — ''He frowned looking at me.''
:Related words: '''cmila''', '''cisma'''"
fu,"
'''fu''' <small>[case tag]</small> — prefix for the 5th place of the current clause
:'''mi ba benji lo xatra fu lo kibro''' — ''I will send the letter via the internet.''"
fu'au,"
'''fu'au''' <small>[interjection]</small> — ''luckily'', '''fu'au''' '''nai''' — ''unluckily''
:'''fu'au mi se permite fi lo ka dasni lo tordu skaci''' — ''Luckily, I'm allowed to wear a short skirt.''
:'''do ca zvati lo zdani fu'au dai''' — ''You are now at home, lucky you.''
:'''fu'au nai lo vi dacti na mutce da'i lo ka plixau''' — ''Unluckily, this thing wouldn't be of big help.''
:'''fu'au nai no da pu ganse lo nu le ninmu ba'o kansa mi'a''' — ''Unluckily, no one noticed that she was no longer with us.''
:Related words: '''zabna''', '''funca''', '''ui''', '''di'ai'''"
fu'e,"
'''fu'e''' — creates a scope (brackets) of influence for an interjection
:'''mi viska lo fu'e ia cizra zdani fu'o ponse''' — ''I can see an owner of what I believe is a strange house.''
:'''mi ca klama lo drata tcadu fu'e ta'o de'i li jy dy re te zu'e lo ka viska loi mi rirni fu'o''' — ''I am going to another city (on Tuesday, by the way, to visit my parents).''"
fu'i,"
'''fu'i''' <small>[interjection suffix]</small> — the state has been achieved easily, '''fu'i''' '''nai''' — state has been achieved hard
:'''e'e fu'i mi cpare le cmana''' — ''I can easily climb the mountain, I can go for it!''
:'''ui fu'i nai mi tsuku lo korbi be le tcadu''' — ''Yay, that was hard but now I'm at the edge of the city.''
:Related words: '''frili'''"
fu'o,"
'''fu'o''' <small>[terminator]</small>
:ends a construct started with: '''fu'e'''"
fukpi,"
'''fukpi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a copy of  ''x<sub>2</sub><sub>(entity)</sub>''  in form  ''x<sub>3</sub><sub>(entity)</sub>''  made by method  ''x<sub>4</sub><sub>(clause)</sub>'' 
:'''lo fukpi''' — copy, replica. 
:'''mi ralte lo fukpi be lo vi pixra bei lo jubme bukpu bei lo nu prina''' — ''I have a printed copy of this picture made as a tablecloth.''
:Related words: '''krefu''', '''rapli''', '''gidva''', '''zi'evla'''"
fulta,"
'''fulta''' — ''x<sub>1</sub><sub>(entity)</sub>''  floats in or on gas or fluid  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo sefta be lo djacu cu se fulta lo morsi pezli''' — ''Dead leaves float on the surface of the water.''
:Related words: '''limna''', '''bloti''', '''sakli'''"
funca,"
'''funca''' — ''x<sub>1</sub><sub>(clause)</sub>''  is determined by the good or bad luck of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo funca''' — luck (good or bad). 
:'''mi se funca lo ka se jundi ro da''' — ''I'm lucky in that everybody listens to me.''
:Related words: '''cunso''', '''mabla''', '''zabna'''"
fusra,"
'''fusra''' — ''x<sub>1</sub><sub>(entity)</sub>''  rots or decays
:'''lo fusra''' — rotting. 
:'''pa perli cu ba'o fusra''' — ''There is one pear and it is rotten.''
:Related words: '''birje''', '''vanju''', '''vifne'''"
fuzme,"
'''fuzme''' — ''x<sub>1</sub><sub>(entity)</sub>''  is responsible for  ''x<sub>2</sub><sub>(clause)</sub>''  to authority  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo fuzme''' — responsible for, accountable for. 
:'''la Alis pu jai se facki fai lo ka na fuzme lo zekri vau le kamni''' — ''Alice was found not responsible for the crime by the committee.''
:Related words: '''bilga'''"
fy,"
'''fy''' <small>[pronoun]</small> — ''f'' (letter)"
ga,"
'''ga''' <small>[forethought conjunction]</small> — ''and/or''
:'''ga mi citka gi mi kelci''' — ''I either eat or play, or do both.''
:Comment: used to connect nouns, adverbs, verbs, clauses. Shows that at least one of the constructs inside '''ga''' ... '''gi''' is true."
ga'a,"
'''ga'a''' <small>[preposition from '''zgana''']</small> — ''to observer ...'', ''observed by ...'', adverb: ''being observed''
:'''ca cerni ga'a mi''' — ''I can see it's morning now.''
:'''ko ga'a tirna mi''' — ''Listen to me!''
:'''ko ga'a viska le pixra''' — ''Look at the picture!''
:Comment: not limited to vision. When used as an adverb (without a noun after it) the clause itself describes the means of observing and x<sub>1</sub> of the clause is the observer. When used as a preposition (with a noun after it) the clause itself describes what is being observed.."
ga'i,"
'''ga'i''' <small>[interjection]</small> — expressing hauteur, '''ga'i''' '''cu'i''' — expressing equal rank, '''ga'i''' '''nai''' — meekness (used with one of lower rank)
:'''do nitcu ma doi pikci ga'i''' — ''What do you need, you beggar?''
:'''mi ro do ga'i cu'i tavla''' — ''I'm talking to you, my peers.''
:'''e'o doi turni ko sidju mi'a ga'i nai sai''' — ''Please, governor, help us, worthless people.''
:Related words: '''gapru''', '''cnita'''"
ga'u,"
'''ga'u''' <small>[preposition of cardinal direction]</small> — ''up from ...'', adverb: ''above''
:'''pu bumru ga'u lo lalxu''' — ''There was mist over the river.''"
gacri,"
'''gacri''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a lid for covering  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo gacri''' — lid. '''lo se gacri''' — something with a lid. 
:'''lo snime cu gacri lo dertu''' — ''Snow covers the ground.''
:Related words: '''pilka''', '''gapru''', '''marbi''', '''drudi''', '''botpi''', '''bitmu''', '''calku'''"
gadri,"
'''gadri''' — ''x<sub>1</sub><sub>(text)</sub>''  is a gadri, a grammatical particle producing noun out of verb  ''x<sub>2</sub><sub>(text)</sub>'' 
:'''lo gadri''' — gadri (grammatical particle). 
:'''zo le gadri lu nu dansu li'u''' — '''''le''' is a gadri.''
:Comment: '''lo''', '''le''', '''la''', '''lai''', '''loi''', '''lei''', '''lo'e''', '''le'e''' are the most common gadri.
:Related words: '''valsi''', '''cmavo'''"
gai,"
'''gai''' <small>[digit/number]</small> — hex digit ''C'' (decimal 12), ''twelve'', ''dozen''
:'''mi citka de'i li cy gai''' — ''I eat at noon (12 o'clock).''"
galfi,"
'''galfi''' — ''x<sub>1</sub><sub>(entity)</sub>''  transforms, modifies, changes  ''x<sub>2</sub><sub>(entity)</sub>''  into  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo galfi''' — modifier, transformer. 
:'''le mamta pu galfi lo rectu ce lo nanba lo pluka snuji''' — ''Mother turned the meat and the bread into lovely sandwiches.''
:'''ju'o le ninmu ba galfi la Kevin lo speni be vo'a''' — ''I'm sure she will make Kevin her spouse.''
:'''lo lenku brife pu galfi lo pezli lo bunre''' — ''The cold wind turned the leaves brown.''
:Comment: '''binxo''' describes that entity turns into another entity, '''galfi''' is ''to turn one entity into another one''. '''cenba''' describes how entity changes its state while remaining the same entity, '''stika''' is ''to make entity change its state''.
:Related words: '''stika''', '''binxo''', '''cenba''', '''zasni'''"
galtu,"
'''galtu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is high in reference frame  ''x<sub>2</sub><sub>(entity)</sub>'' ; x<sub>1</sub> is an upper part of x<sub>2</sub>
:'''lo galtu''' — high. 
:'''lo cipni cu galtu mi''' — ''The bird is high compared to me.''
:Related words: '''gapru''', '''dizlo''', '''cnita''', '''drudi''', '''farna'''"
galxe,"
'''galxe''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a throat of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo galxe''' — throat. 
:'''da'i lo djacu cu xamgu lo galxe be do''' — ''Water would be fine for your throat.''
:Related words: '''cnebo''', '''kevna''', '''tunlo'''"
ganlo,"
'''ganlo''' — portal  ''x<sub>1</sub><sub>(entity)</sub>''  is closed, preventing access to place  ''x<sub>2</sub><sub>(entity)</sub>''  for object  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo ganlo''' — closed. 
:'''lo vorme cu ganlo lo nenri lo fange''' — ''The door is closed not letting the strangers in.''
:Related words: '''kalri''', '''pagre''', '''canko''', '''vorme''', '''zunti'''"
ganra,"
'''ganra''' — ''x<sub>1</sub><sub>(entity)</sub>''  is broad or wide in length/width etc.  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo ganra''' — broad, wide. 
:'''le tricu cu rotsu lo ka se midju''' — ''The tree is thick in the middle.''
:Comment: the second largest dimension. '''ganra''', '''rotsu''' and '''clani''' specify the three dimensions of objects.
:Related words: '''clani''', '''jarki''', '''rotsu''', '''condi''', '''barda''', '''gutci''', '''minli'''"
ganse,"
'''ganse''' — ''x<sub>1</sub><sub>(entity)</sub>''  detects or senses  ''x<sub>2</sub><sub>(entity)</sub>''  by means  ''x<sub>3</sub><sub>(property of x1)</sub>'' 
:'''lo se ganse''' — feeling (sensation). 
:'''mi ganse lo nu ti cpina vau lo ka smaka ri''' — ''I sense it being irritating by tasting it.''
:Related words: '''pencu''', '''sanji''', '''viska''', '''sumne''', '''tirna''', '''zgana''', '''canci''', '''simlu'''"
ganti,"
'''ganti''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a gonad/ovary of  ''x<sub>2</sub><sub>(entity)</sub>''  of sex  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo ganti''' — gonad. '''lo te ganti''' — sex (biological). 
:'''lo xanto cu se ganti lo barda lo nakni''' — ''Male elephants have large testicles.''
:Related words: '''plibu''', '''sovda''', '''nakpinji''', '''gutra''', '''mabla'''"
ganxo,"
'''ganxo''' — ''x<sub>1</sub><sub>(entity)</sub>''  is the anus of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo ganxo''' — anus. 
:'''le mikce pu kucli tu'a lo nabmi pe lo ganxo be le nanmu''' — ''The doctor was curious about the problem with the anus of the man.''
:Related words: '''zargu''', '''kalci''', '''mabla''', '''rinci'''"
ganzu,"
'''ganzu''' — ''x<sub>1</sub><sub>(entity)</sub>''  organizes chaos  ''x<sub>2</sub><sub>(entity)</sub>''  into order  ''x<sub>3</sub><sub>(entity)</sub>''  by principle  ''x<sub>4</sub><sub>(proposition)</sub>'' 
:'''lo ganzu''' — organizer. '''lo se ganzu''' — chaotic, not organized. '''lo te ganzu''' — organized. 
:'''le turni pu ganzu lo ruble prenu lo vlipa jenmi lo ka bapli lo nu le jenmi cu zukte lo te minde''' — ''He turned weak people into a powerful army by making them execute orders.''
:Related words: '''ciste''', '''morna''', '''stura''', '''cabra'''"
gapci,"
'''gapci''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a gas
:'''lo gapci''' — gas. 
:'''lo vi karce cu se livla lo gapci''' — ''This car is powered by gas.''
:Related words: '''pambe''', '''vacri''', '''litki''', '''sligu''', '''danmo''', '''bumru''', '''cidro''', '''flu'ente'''"
gapru,"
'''gapru''' — ''x<sub>1</sub><sub>(entity)</sub>''  is directly above  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo gapru''' — something above. 
:'''lo solri ca gapru mi''' — ''The Sun is now above me.''
:Related words: '''tsani''', '''galtu''', '''cnita''', '''drudi''', '''gacri''', '''dizlo''', '''farna'''"
garna,"
'''garna''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a railing or bar supporting or restraining  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo garna''' — rail. 
:'''ti garna lo xance''' — ''This is a handrail.''
:Related words: '''kamju''', '''grana''', '''tutci'''"
gasnu,"
'''gasnu''' — ''x<sub>1</sub><sub>(entity)</sub>''  causes  ''x<sub>2</sub><sub>(clause)</sub>''  to happen
:'''lo gasnu''' — agent. 
:'''do pu gasnu lo nu mi klaku''' — ''You made me cry.''
:Comment: '''lo''' '''zukte''' is ''who do something themselves, '''lo''' '''gasnu''' is ''agent who causes something'', '''lo''' '''se''' '''jalge''' is ''event that causes something''.
:Related words: '''gau''', '''gunka''', '''zukte''', '''rinka''', '''fasnu''', '''jibri''', '''kakne''', '''pilno'''"
gasta,"
'''gasta''' — ''x<sub>1</sub><sub>(entity)</sub>''  is some steel
:'''lo gasta''' — steel. 
:'''lo balre be lo vi dakfu cu gasta''' — ''The blade of this knife is made of steel.''
:Related words: '''jinme''', '''molki''', '''tirse'''"
gau,"
'''gau''' <small>[preposition from '''gasnu''']</small> — ''with active agent ...''
:'''ba gau mi do cliva''' — ''I will make you leave.''
:'''mi pu jai gau citka fai lo verba''' — ''I fed the child.''
:Comment: the clause describes the event cause by the agent; agent/ergative case tag."
ge,"
'''ge''' <small>[forethought conjunction]</small> — ''and''
:'''mi ge citka lo torta gi pinxe lo jisra''' — ''I both eat the cake and drink some juice.''
:Comment: used to connect nouns, adverbs, verbs, clauses. Shows that both constructs inside '''ge''' ... '''gi''' are true."
ge'e,"
'''ge'e''' <small>[interjection]</small> — attitude unspecified or known from context
:'''ge'e lo mi mlatu mo'u se jbena pa no da''' — ''Well, my cat has given birth to ten kittens.''"
ge'i,"
'''ge'i''' <small>[forethought conjunction]</small> — question
:'''lu do ge'i citka lo torta gi pinxe lo jisra li'u lu ge li'u''' — ''&quot;What connective of GA series matches your situation: you eat a cake, you drink some juice?&quot; &quot;I do both.&quot;''
:Comment: used to connect nouns, adverbs, verbs, clauses."
ge'u,"
'''ge'u''' <small>[terminator]</small>
:ends a construct started with: '''goi, ne, pe, po'e'''"
genja,"
'''genja''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a root of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo genja''' — root. 
:'''lo vi spati cu se genja lo clani''' — ''This plant has long roots.''
:Related words: '''jamfu''', '''jicmu''', '''patlu''', '''samcu''', '''spati''', '''krasi'''"
genxu,"
'''genxu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a hook
:'''lo genxu''' — hook. 
:'''mi pu kavbu lo finpe lo genxu''' — ''I caught a fish with a hook.''
:Related words: '''korcu'''"
gerku,"
'''gerku''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a dog of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo gerku''' — dog. 
:'''mi jai gau citka fa lo mi gerku re roi ro djedi''' — ''I feed my dog twice a day.''
:Related words: '''lorxu''', '''labno''', '''mlatu'''"
gerna,"
'''gerna''' — ''x<sub>1</sub><sub>(proposition)</sub>''  is the grammar of language  ''x<sub>2</sub><sub>(entity)</sub>''  for structure  ''x<sub>3</sub><sub>(text)</sub>'' 
:'''lo gerna''' — grammar. '''lo te gerna''' — text. 
:'''lo du'u lo gadri cu lidne lo selbri cu gerna la Lojban lo selbri''' — ''That gadri precede selbri is the grammar of Lojban for sumti.''
:Related words: '''bangu''', '''stura''', '''cmavo''', '''jufra'''"
gi,"
'''gi''' <small>[middle separator]</small> — separator of the two parts in the forethought connection
:'''ge do gi mi nelci lo perli''' — ''Both you and I like pears.''"
gi'a,"
'''gi'a''' <small>[connective for clause tail]</small> — ''and/or''
:'''mi citka gi'a sanga''' — ''I do at least one of the following: I drink and I sing. I drink or I sing.''"
gi'e,"
'''gi'e''' <small>[connective for clause tail]</small> — ''and''
:'''ai mi lumci lo kumfa gi'e jukpa lo torta''' — ''I'm going to clean the room and cook a cake.''"
gi'e nai,"
'''gi'e nai''' <small>[connective for clause tail]</small> — ''and not''
:'''mi tavla bau la lojban gi'e nai certu''' — ''I speak Lojban but I'm not an expert.''"
gi'i,"
'''gi'i''' <small>[connective for clause tail]</small> — question
:'''do klama gi'i stali''' — ''Are you going or staying?''"
gi'o,"
'''gi'o''' <small>[connective for clause tail]</small> — ''if and only if''
:'''i ro da ka'e prenu gi'o ka'e tavla''' — ''Everyone can be a person if and only if can talk.''
:Comment: describes event requiring both connected main verbs to be true in respect to their shared nouns."
gi'u,"
'''gi'u''' <small>[connective for clause tail]</small> — ''whether or not''
:'''mi citka gi'u sanga''' — ''I eat (whether or not I sing).''"
gidva,"
'''gidva''' — ''x<sub>1</sub><sub>(entity)</sub>''  guides or leads  ''x<sub>2</sub><sub>(entity)</sub>''  in  ''x<sub>3</sub><sub>(property of x2)</sub>'' 
:'''lo gidva''' — guide (conductor). 
:'''ra gidva mi lo ka tadni la Lojban''' — ''He guides me in studying Lojban.''
:Related words: '''jitro''', '''ralju''', '''sazri''', te '''bende''', '''jatna''', '''fukpi''', '''morna'''"
gigdo,"
'''gigdo''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a billion, 10<sup>9</sup> of  ''x<sub>2</sub><sub>(same type as x1)</sub>''  in  ''x<sub>3</sub><sub>(property of x1)</sub>'' 
:'''lo vi tcana cu gigdo lo bitni lo ka benji ca ro snidu''' — ''This network station sends 1 gigabit of data per second.''
:Related words: '''centi'''"
ginka,"
'''ginka''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a camp of inhabitants  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo ginka''' — camp. '''lo se ginka''' — camper. 
:'''mi'ai pu zbasu lo ginka pe bu'u lo lalxu''' — ''We made camp near the lake.''
:'''mi'ai pu se ginka ca lo jeftu''' — ''We camped there for a week.''
:Comment: temporary residence.
:Related words: '''dinju''', '''xabju''', '''zdani'''"
girzu,"
'''girzu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a group with common feature  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo girzu''' — group. 
:'''mi cmima lo girzu be lo ka tadni la Lojban''' — ''I am a member of a group of those who learn Lojban.''
:Related words: '''bende''', '''ciste''', '''cmima''', '''gunma''', '''panra''', '''cabra''', '''cecmu''', '''kansa''', '''klesi''', '''lanzu''', '''liste''', '''vrici'''"
gismu,"
'''gismu''' — ''x<sub>1</sub><sub>(text)</sub>''  is a root verb
:'''lo gismu''' — gismu (root verb). 
:'''zo zgana gismu''' — '''''zgana''' is a gismu (root verb).''
:Related words: '''selbrivla''', '''lujvo''', '''zi'evla''', '''cmevla'''"
glare,"
'''glare''' — ''x<sub>1</sub><sub>(entity)</sub>''  is hot
:'''lo glare''' — hot. 
:'''lo tcati cu glare''' — ''The tea is hot.''
:Related words: '''lenku'''"
gleki,"
'''gleki''' — ''x<sub>1</sub><sub>(entity)</sub>''  is happy about  ''x<sub>2</sub><sub>(clause, property of x1)</sub>'' 
:'''lo gleki''' — happy. 
:'''mi gleki lo nu do jinga''' — ''I am happy that you won.''
:Related words: '''badri''', '''cinmo'''"
gletu,"
'''gletu''' — ''x<sub>1</sub><sub>(entity)</sub>''  copulates or mates with  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''ko na gletu ra mu'i po'o lo nu do djica''' — ''Don't have sex with her just because you want to.''
:Related words: '''seksi''', '''nakpinji''', '''plibu''', '''vibna''', '''vlagi''', '''mabla''', '''speni'''"
glico,"
'''glico''' — ''x<sub>1</sub><sub>(entity)</sub>''  is English in  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo glico''' — English. 
:'''mi traduki lo vi uenzi lo glico''' — ''I'm translating this text to English.''
:Related words: '''sralo'''"
gluta,"
'''gluta''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a glove or mitten
:'''lo gluta''' — glove. 
:'''lo gluta pu jai gau stodi fai lo xance be ra lo ka mligla''' — ''The gloves kept her hands warm.''
:Related words: '''taxfu'''"
go,"
'''go''' <small>[forethought conjunction]</small> — ''if and only if''
:'''go la Alis ba lumci lo kumfa gi la Kevin cu sidju la Alis''' — ''Alice will clean a room if, and only if, Kevin helps her.''
:Comment: used to connect nouns, adverbs, verbs, clauses. Shows that the construct inside '''ga''' ... '''gi''' is true only if the cosntruct after '''gi''' is true."
go'a,"
'''go'a''' <small>[verb]</small> — copies a recent completed main level clause
:'''au mi ne ka'ai do zgana lo cnino skina i ku'i za'a do ca zukcfu so'i da i ca ma mi'o ka'e go'a''' — ''I'd like to watch a new movie with you. But as I can see you are very busy now. When can we do that?''"
go'i,"
'''go'i''' <small>[verb]</small> — copies the last completed main main level clause
:'''au mi penmi do i xu lo nu go'i cu cumki''' — ''I'd like to meet you. Is this possible?''"
go'o,"
'''go'o''' <small>[verb]</small> — copies the next main main level clause
:'''sa'u mi pu jinvi lo nu go'o i do mutce lo ka tatpi''' — ''I simply thought this: you are very tired.''"
gocti,"
'''gocti''' — ''x<sub>1</sub><sub>(entity)</sub>''  is 10<sup>-24</sup> of  ''x<sub>2</sub><sub>(same type as x1)</sub>''  in  ''x<sub>3</sub><sub>(property of x1)</sub>'' 
:'''lo protoni cu gocti lo grake be li ji'i pa pi ze bei lo ka tilju''' — ''Proton is approximately 1.7 Yoctogram.''
:Related words: '''centi'''"
goi,"
'''goi''' — ''that will from now on be called ...'' (a noun follows)
:'''i'a da goi ko'a dinju''' — ''Okay, so there is a house, let's call it '''ko'a''' from now on.''
:'''ko'a simlu lo ka zarci i je lo so'i prenu ta'e klama lo nenri ce'o bartu i ji'a cinri fa lo nu pa canko be ko'a cu spofu''' — ''ko'a looks like a store, many people go in and out. In addition, it's interesting that there is a window in ko'a that is broken.''"
gotro,"
'''gotro''' — ''x<sub>1</sub><sub>(entity)</sub>''  is 10<sup>24</sup> of  ''x<sub>2</sub><sub>(same type as x1)</sub>''  in  ''x<sub>3</sub><sub>(property of x1)</sub>'' 
:'''lo terdi cu gotro lo grake be li ji'i pa ki'o boi lo ka tilju''' — ''The mass of the Earth is approximately 6000 Yottagram.''
:Related words: '''centi'''"
gradu,"
'''gradu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a unit on scale  ''x<sub>2</sub><sub>(property of x1 with '''kau''')</sub>''  measuring  ''x<sub>3</sub><sub>(property of x1 with '''kau''')</sub>'' 
:'''lo gradu''' — unit. '''lo se gradu''' — scale with units. 
:'''lo centi be lo mitre cu gradu lo ka mitre vau lo ka te sepli''' — ''Centimeter is a unit on metric scale, which measures distance.''
:Related words: '''ckilu''', '''kantu''', '''kelvo''', '''merli''', '''ranti''', '''selci'''"
grake,"
'''grake''' — ''x<sub>1</sub><sub>(entity)</sub>''  is  ''x<sub>2</sub><sub>(number)</sub>''  grams in weight
:'''lo se grake''' — weight in grams. 
:'''lei plise cu grake li pa ki'o''' — ''The apples are 1 kilogram in weight.''
:Related words: '''junta''', '''kilto''', '''bunda''', '''centi''', '''decti''', '''dekto''', '''femti''', '''gigdo''', '''gocti''', '''gotro''', '''litce''', '''centi'''"
grana,"
'''grana''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a rod or pole
:'''lo grana''' — rod, stick. 
:'''ra pu jgari lo grana''' — ''He was holding a rod.''
:Related words: '''garna'''"
grasu,"
'''grasu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is some grease, oil
:'''lo grasu''' — grease. 
:'''ko punji lo so'o grasu lo xislu''' — ''Put some grease on the wheel.''
:'''ri se savru''' — ''It squeaks.''
:Related words: '''ctile''', '''matne''', '''plana'''"
gredile,"
'''gredile''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a grill/grid/graticule consisting of lines  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo gredile''' — grill, grid. '''lo se gredile''' — line of a grid. 
:'''ti gredile ci pinta ce re sraji''' — ''It's a grid with three horizontal and two vertical lines.''
:Comment: see '''cartu''', '''sraji''', '''pinta''', '''kamju'''.
:Related words: '''greku''', '''kamju''', '''sraji''', '''pinta'''"
greku,"
'''greku''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a frame or structure supporting  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo greku''' — frame. 
:'''lo greku be lo bitmu cu mudri''' — ''The frame of the fence is wooden.''
:Related words: '''korbi''', '''stura''', '''tsina''', '''bongu'''"
grusi,"
'''grusi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is gray
:'''lo grusi''' — gray. 
:'''ca lo nicte ro mlatu cu grusi''' — ''At night, all cats are grey.''
:Related words: '''skari''', '''blabi''', '''xekri''', '''kandi''', '''carmi'''"
grute,"
'''grute''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a fruit of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo grute''' — fruit (of a plant). 
:'''lo pa vi grute be lo plise cu crino''' — ''This apple fruit is green.''
:Related words: '''badna''', '''dembi''', '''figre''', '''tcilokoiotli''', '''narge''', '''perli''', '''pilka''', '''plise''', '''spati''', '''stagi''', '''tamca''', '''tsiju''', '''tarbi''', '''panzi''', '''rorci''', te '''pruce''', '''jbari''', '''nimre'''"
